,AUC_baseline,AUC01_baseline,PPV_baseline,AUC_structure,AUC01_structure,PPV_structure
5155,0.9438432984461933,0.8904243589851819,0.6927286942924159,0.940903809007434,0.8814706875858577,0.6817826426896012
5156,0.9445980361625406,0.8927529029425625,0.7318217357310399,0.9426722464017674,0.8885324675609916,0.7333854573885848
5157,0.938020896017978,0.8852924050190163,0.6849100860046912,0.9367867785725827,0.8793866795198382,0.6794370602032838
5158,0.9467689032845688,0.8869449138856442,0.6950742767787333,0.9442279820447851,0.8795854860932742,0.6841282251759186
5159,0.9520365701356682,0.8953024872687494,0.7161845191555903,0.9499818671736431,0.8887349319535318,0.7083659108678655
5160,0.9561242549510718,0.9007277887974409,0.72556684910086,0.9547734505710037,0.8968250530920239,0.7138389366692729
5161,0.9468808505872203,0.8952165905142528,0.7122752150117279,0.94454137332208,0.888431692404184,0.6966379984362784
5162,0.9447455800982176,0.8940127703119007,0.7294761532447225,0.9432584640848897,0.887428416631953,0.7240031274433151
5163,0.9463637360824809,0.8951725088775722,0.691164972634871,0.9446693637043939,0.8869437455907213,0.6817826426896012
5164,0.9508724045094863,0.8965049677189713,0.7200938232994527,0.9486675267556794,0.8900049481493881,0.7146207974980453
5165,0.9493530260851635,0.891302316996766,0.6888193901485535,0.9478651720587141,0.8846832977073606,0.6802189210320563
5166,0.9501251671638916,0.894105734412652,0.72869429241595,0.9490202432343662,0.8881458229258253,0.7216575449569976
5167,0.945823740354096,0.8888349491698926,0.6989835809225958,0.9454544052773405,0.8855804234779856,0.7021110242376857
5168,0.9436661897022525,0.8917237573636954,0.6872556684910086,0.9414021049404978,0.8875533145746778,0.6763096168881939
5169,0.9460343879980097,0.8850429962173755,0.6950742767787333,0.9436369026875484,0.8804451003204701,0.6872556684910086
5170,0.946975829253362,0.8907814439926068,0.6849100860046912,0.9455390231522667,0.8867727525544247,0.6849100860046912
5171,0.9476088943134996,0.899402016465063,0.7200938232994527,0.9445087555513597,0.8915389074112763,0.7107114933541829
5172,0.9461445385588946,0.8930586793380422,0.6872556684910086,0.9451545253319131,0.8874857718920017,0.6864738076622361
5173,0.949227714093934,0.8947391639706688,0.7028928850664582,0.9470304108355256,0.8904639657378084,0.691164972634871
5174,0.9538316920060468,0.899817466895019,0.7318217357310399,0.9534223132363288,0.8943154604307708,0.727130570758405
5175,0.9429118323519292,0.8943391852299112,0.7318217357310399,0.9419855120898535,0.89153391807158,0.7318217357310399
5176,0.9407463092391071,0.8884468312844735,0.706020328381548,0.9379707767128282,0.8826508625245842,0.7005473025801408
5177,0.9416624762957919,0.8871220842179164,0.7341673182173573,0.9401333268945609,0.8817009082438929,0.727130570758405
5178,0.9442134396347777,0.8895608895931689,0.7216575449569976,0.9425740757112758,0.8845003667170914,0.7161845191555903
5179,0.9511332203351351,0.8957934259347898,0.7482408131352619,0.9503545966541553,0.8917485087315284,0.7412040656763096
5180,0.9492069625738333,0.8941546721904727,0.7263487099296325,0.9489103378846722,0.8910928933532625,0.7247849882720876
